seed,hallucination_rate,controller,final_vhat,final_vtrue,viol_rate,conv_steps,pearson_r,spearman_r
52,0.3,adaptive,0.0,2.7484913313338484,0.2952952952952953,16,0.7908975584210852,0.6865101444849171
53,0.3,no_damping,9.992007221626409e-16,343079005070.18854,0.014014014014014014,1000,-0.4105308113730772,0.6619929176835191
53,0.3,cosine,0.0,0.11472697333168712,0.1891891891891892,529,0.13469845338267458,0.434207967213559
53,0.3,grad_clip,3.743899543187414,1.0801161581909873,0.5155155155155156,7,0.34064869019135974,0.7726896225615443
53,0.3,adaptive,19.679474617104923,6.474330925495975,0.3103103103103103,10,0.8155698798373144,0.6353173610111911
54,0.3,no_damping,9.992007221626409e-16,399053473179.4679,0.01701701701701702,1000,-0.37251233465028544,0.6426964554125696
54,0.3,cosine,0.004747126681049953,0.3608488678533414,0.1841841841841842,537,0.025951722692232778,0.2398551415007134
54,0.3,grad_clip,0.23929128172350503,0.5394137552962536,0.5215215215215215,10,0.15591056332503045,0.7689831370689754
54,0.3,adaptive,4.402935311012488,5.036847970925965,0.2992992992992993,16,0.7911804292379147,0.6308544933326499
55,0.3,no_damping,9.992007221626409e-16,400510932398.0594,0.013013013013013013,1000,-0.41604518102196436,0.666984609859904
55,0.3,cosine,0.00016534550012880803,0.10147379517178813,0.19119119119119118,537,-0.026622521450166765,0.28762320573009204
55,0.3,grad_clip,0.829926975720893,0.5681462656209193,0.5155155155155156,13,0.055990073980112263,0.7533024236848537
55,0.3,adaptive,117.2357846561782,5.139710320860972,0.30430430430430433,29,0.6660003471996954,0.616422813108036
56,0.3,no_damping,9.992007221626409e-16,478537897547.777,0.016016016016016016,1000,-0.40029036288871944,0.6544922916665572
56,0.3,cosine,0.0021007673846225815,0.05512905676516706,0.1891891891891892,536,0.06512261049536774,0.18615401042102997
56,0.3,grad_clip,0.4890408709540724,0.4890848499678966,0.5205205205205206,11,0.20684039670548676,0.7692485932745374
56,0.3,adaptive,294.7035160169582,9.180959001646306,0.2782782782782783,42,0.8145851635899521,0.6141389376206673
57,0.3,no_damping,9.992007221626409e-16,249165873097.24127,0.013013013013013013,1000,-0.41087294981665407,0.6674245092673514
57,0.3,cosine,0.0002946566237583129,0.06614065905938787,0.1871871871871872,538,0.05626856812963773,0.27205163534586635
57,0.3,grad_clip,1.607791175143284,1.0273647300733308,0.5065065065065065,7,0.26463647239757904,0.7540407275639318
57,0.3,adaptive,0.33639552757419666,0.8620897732751711,0.2992992992992993,21,0.7201308051656546,0.6447764224028276
58,0.3,no_damping,9.992007221626409e-16,223278415093.39236,0.014014014014014014,1000,-0.39862322638894615,0.6694488168605817
58,0.3,cosine,0.00019793338498947527,0.045069323240124866,0.1931931931931932,530,0.05591725532291376,0.22582675810724487
58,0.3,grad_clip,0.0,0.06006613494746835,0.5095095095095095,11,0.13065439399737655,0.7304642218407782
58,0.3,adaptive,0.0,0.44516877387579623,0.2772772772772773,16,0.7951146550554029,0.5918455405246587
59,0.3,no_damping,9.992007221626409e-16,359077731493.9756,0.016016016016016016,1000,-0.37568566096599415,0.6576259954695284
59,0.3,cosine,0.00027570676017885456,0.038465599669675214,0.19119119119119118,534,0.13136459329870237,0.3897643699934531
59,0.3,grad_clip,0.0,0.11376508935717018,0.5125125125125125,15,0.11641994708826378,0.7544318992737294
59,0.3,adaptive,0.00028841856662301053,0.004823712788085353,0.3073073073073073,23,0.6775473622034622,0.640682615349981
60,0.3,no_damping,9.992007221626409e-16,293093985231.02454,0.013013013013013013,1000,-0.41448737842484223,-0.8413386074230994
60,0.3,cosine,0.000192224062572004,0.033915661683833205,0.18518518518518517,532,0.10249616338360852,0.20084338852120764
60,0.3,grad_clip,0.0,0.08234602864600636,0.5095095095095095,9,0.23096486966470028,0.7442188048528842
60,0.3,adaptive,0.032363638353066576,2.5001942509219583,0.3173173173173173,22,0.6598659177105357,0.6789594122430112
61,0.3,no_damping,9.992007221626409e-16,255405504158.57288,0.012012012012012012,1000,-0.4198674915228913,0.671696391578664
