seed,mode,E_thresh,RV_thresh,n_accepted,n_rejected,retention_rate,fragile_rate,reliable_frac,recall,f1,fragile_rej,accepted_fragile
44,RV_only,0.0,0.01,90,410,0.18,0.056338028169014086,0.7444444444444445,0.2863247863247863,0.4135802469135803,0.9310344827586207,4
44,RV_only,0.0,0.05,214,286,0.428,0.07096774193548387,0.6728971962616822,0.6153846153846154,0.6428571428571428,0.8103448275862069,11
44,RV_only,0.0,0.1,306,194,0.612,0.0963302752293578,0.6437908496732027,0.8418803418803419,0.7296296296296296,0.6379310344827587,21
44,RV_only,0.0,0.15,375,125,0.75,0.1111111111111111,0.5973333333333334,0.9572649572649573,0.735632183908046,0.5172413793103448,28
44,RV_only,0.0,0.2,409,91,0.818,0.13962264150943396,0.5574572127139364,0.9743589743589743,0.7091757387247278,0.3620689655172413,37
44,RV_only,0.0,0.3,446,54,0.892,0.15827338129496402,0.5246636771300448,1.0,0.6882352941176471,0.24137931034482762,44
44,RV_only,0.0,0.5,480,20,0.96,0.176056338028169,0.4875,1.0,0.6554621848739496,0.13793103448275867,50
44,E+RV,1.0,0.01,86,414,0.172,0.04285714285714286,0.7790697674418605,0.2863247863247863,0.41875,0.9482758620689655,3
44,E+RV,1.0,0.05,194,306,0.388,0.06493506493506493,0.7422680412371134,0.6153846153846154,0.6728971962616823,0.8275862068965517,10
44,E+RV,1.0,0.1,275,225,0.55,0.08411214953271028,0.7127272727272728,0.8376068376068376,0.7701375245579567,0.6896551724137931,18
44,E+RV,1.0,0.15,331,169,0.662,0.10080645161290322,0.6737160120845922,0.9529914529914529,0.7893805309734514,0.5689655172413793,25
44,E+RV,1.0,0.2,359,141,0.718,0.12692307692307692,0.6323119777158774,0.9700854700854701,0.7655986509274874,0.43103448275862066,33
44,E+RV,1.0,0.3,387,113,0.774,0.14652014652014653,0.6020671834625323,0.9957264957264957,0.750402576489533,0.31034482758620685,40
44,E+RV,1.0,0.5,415,85,0.83,0.16487455197132617,0.5614457831325301,0.9957264957264957,0.7180277349768875,0.2068965517241379,46
44,E+RV,1.5,0.01,79,421,0.158,0.043478260869565216,0.8354430379746836,0.28205128205128205,0.42172523961661346,0.9482758620689655,3
44,E+RV,1.5,0.05,173,327,0.346,0.06578947368421052,0.8208092485549133,0.6068376068376068,0.6977886977886978,0.8275862068965517,10
44,E+RV,1.5,0.1,241,259,0.482,0.07211538461538461,0.8008298755186722,0.8247863247863247,0.8126315789473684,0.7413793103448276,15
44,E+RV,1.5,0.15,290,210,0.58,0.09090909090909091,0.7586206896551724,0.9401709401709402,0.8396946564885496,0.6206896551724138,22
44,E+RV,1.5,0.2,314,186,0.628,0.11811023622047244,0.7133757961783439,0.9572649572649573,0.8175182481751825,0.48275862068965514,30
44,E+RV,1.5,0.3,337,163,0.674,0.1320754716981132,0.6824925816023739,0.9829059829059829,0.8056042031523644,0.39655172413793105,35
44,E+RV,1.5,0.5,360,140,0.72,0.14814814814814814,0.6388888888888888,0.9829059829059829,0.7744107744107743,0.31034482758620685,40
44,E+RV,2.0,0.01,73,427,0.146,0.030303030303030304,0.8767123287671232,0.27350427350427353,0.41693811074918574,0.9655172413793104,2
44,E+RV,2.0,0.05,153,347,0.306,0.056338028169014086,0.8758169934640523,0.5726495726495726,0.6925064599483204,0.8620689655172413,8
44,E+RV,2.0,0.1,211,289,0.422,0.0625,0.8530805687203792,0.7692307692307693,0.8089887640449439,0.7931034482758621,12
44,E+RV,2.0,0.15,250,250,0.5,0.07657657657657657,0.82,0.8760683760683761,0.847107438016529,0.7068965517241379,17
44,E+RV,2.0,0.2,262,238,0.524,0.09523809523809523,0.7977099236641222,0.8931623931623932,0.842741935483871,0.6206896551724138,22
44,E+RV,2.0,0.3,277,223,0.554,0.10833333333333334,0.7725631768953068,0.9145299145299145,0.837573385518591,0.5517241379310345,26
44,E+RV,2.0,0.5,296,204,0.592,0.12653061224489795,0.722972972972973,0.9145299145299145,0.8075471698113207,0.4655172413793104,31
44,E+RV,2.5,0.01,70,430,0.14,0.03125,0.8857142857142857,0.26495726495726496,0.4078947368421053,0.9655172413793104,2
44,E+RV,2.5,0.05,131,369,0.262,0.04838709677419355,0.9007633587786259,0.5042735042735043,0.6465753424657534,0.896551724137931,6
44,E+RV,2.5,0.1,181,319,0.362,0.058823529411764705,0.8839779005524862,0.6837606837606838,0.7710843373493975,0.8275862068965517,10
44,E+RV,2.5,0.15,213,287,0.426,0.07142857142857142,0.8544600938967136,0.7777777777777778,0.814317673378076,0.7586206896551724,14
44,E+RV,2.5,0.2,223,277,0.446,0.09268292682926829,0.8340807174887892,0.7948717948717948,0.8140043763676148,0.6724137931034483,19
44,E+RV,2.5,0.3,235,265,0.47,0.09905660377358491,0.8127659574468085,0.8162393162393162,0.814498933901919,0.6379310344827587,21
44,E+RV,2.5,0.5,247,253,0.494,0.11162790697674418,0.7732793522267206,0.8162393162393162,0.7941787941787941,0.5862068965517242,24
44,E+RV,3.0,0.01,51,449,0.102,0.02127659574468085,0.9019607843137255,0.19658119658119658,0.3228070175438596,0.9827586206896551,1
44,E+RV,3.0,0.05,97,403,0.194,0.03260869565217391,0.9175257731958762,0.3803418803418803,0.5377643504531723,0.9482758620689655,3
44,E+RV,3.0,0.1,136,364,0.272,0.05426356589147287,0.8970588235294118,0.5213675213675214,0.6594594594594595,0.8793103448275862,7
44,E+RV,3.0,0.15,159,341,0.318,0.06040268456375839,0.8805031446540881,0.5982905982905983,0.7124681933842241,0.8448275862068966,9
44,E+RV,3.0,0.2,167,333,0.334,0.08917197452229299,0.8562874251497006,0.6111111111111112,0.7132169576059851,0.7586206896551724,14
44,E+RV,3.0,0.3,176,324,0.352,0.09815950920245399,0.8352272727272727,0.6282051282051282,0.7170731707317073,0.7241379310344828,16
44,E+RV,3.0,0.5,185,315,0.37,0.10909090909090909,0.7945945945945946,0.6282051282051282,0.7016706443914081,0.6896551724137931,18
44,E+RV,4.0,0.01,25,475,0.05,0.041666666666666664,0.92,0.09829059829059829,0.17760617760617758,0.9827586206896551,1
44,E+RV,4.0,0.05,58,442,0.116,0.03571428571428571,0.9310344827586207,0.23076923076923078,0.36986301369863017,0.9655172413793104,2
44,E+RV,4.0,0.1,80,420,0.16,0.07692307692307693,0.9,0.3076923076923077,0.45859872611464964,0.896551724137931,6
44,E+RV,4.0,0.15,91,409,0.182,0.0898876404494382,0.8901098901098901,0.34615384615384615,0.49846153846153834,0.8620689655172413,8
44,E+RV,4.0,0.2,95,405,0.19,0.12903225806451613,0.8526315789473684,0.34615384615384615,0.492401215805471,0.7931034482758621,12
44,E+RV,4.0,0.3,101,399,0.202,0.13402061855670103,0.8316831683168316,0.358974358974359,0.5014925373134328,0.7758620689655172,13
44,E+RV,4.0,0.5,102,398,0.204,0.13402061855670103,0.8235294117647058,0.358974358974359,0.5,0.7758620689655172,13
44,E+RV,5.0,0.01,15,485,0.03,0.06666666666666667,0.9333333333333333,0.05982905982905983,0.11244979919678715,0.9827586206896551,1
44,E+RV,5.0,0.05,33,467,0.066,0.03125,0.9393939393939394,0.13247863247863248,0.23220973782771537,0.9827586206896551,1
44,E+RV,5.0,0.1,39,461,0.078,0.02631578947368421,0.9487179487179487,0.1581196581196581,0.27106227106227104,0.9827586206896551,1
44,E+RV,5.0,0.15,47,453,0.094,0.043478260869565216,0.9361702127659575,0.18803418803418803,0.31316725978647686,0.9655172413793104,2
44,E+RV,5.0,0.2,50,450,0.1,0.10204081632653061,0.88,0.18803418803418803,0.3098591549295774,0.9137931034482758,5
44,E+RV,5.0,0.3,52,448,0.104,0.1,0.8653846153846154,0.19230769230769232,0.3146853146853147,0.9137931034482758,5
44,E+RV,5.0,0.5,52,448,0.104,0.1,0.8653846153846154,0.19230769230769232,0.3146853146853147,0.9137931034482758,5
45,none,0.0,0.0,500,0,1.0,0.19753086419753085,0.52,1.0,0.6842105263157895,0.0,64
45,E_only,1.0,0.0,431,69,0.862,0.19122257053291536,0.5986078886310905,0.9923076923076923,0.7467438494934877,0.046875,61
45,E_only,1.5,0.0,375,125,0.75,0.16887417218543047,0.6693333333333333,0.9653846153846154,0.7905511811023622,0.203125,51
45,E_only,2.0,0.0,305,195,0.61,0.13307984790874525,0.7475409836065574,0.8769230769230769,0.8070796460176991,0.453125,35
45,E_only,2.5,0.0,246,254,0.492,0.11214953271028037,0.7723577235772358,0.7307692307692307,0.7509881422924901,0.625,24
45,E_only,3.0,0.0,192,308,0.384,0.10714285714285714,0.78125,0.5769230769230769,0.663716814159292,0.71875,18
45,E_only,4.0,0.0,81,419,0.162,0.0821917808219178,0.8271604938271605,0.25769230769230766,0.3929618768328445,0.90625,6
45,E_only,5.0,0.0,32,468,0.064,0.06896551724137931,0.84375,0.10384615384615385,0.18493150684931509,0.96875,2
45,RV_only,0.0,0.01,88,412,0.176,0.057971014492753624,0.7386363636363636,0.25,0.3735632183908046,0.9375,4
45,RV_only,0.0,0.05,209,291,0.418,0.07926829268292683,0.722488038277512,0.5807692307692308,0.6439232409381663,0.796875,13
